5437160114,Cbt 3 zumpango,15epr5678a,bachillerato tecnologico,P30A,MATUTINO,2,SAGA971111HMCNLL13,AGUILAR,RECAMIER,ALINE,55678977,alumno2@gmail.com,calle plutarco elias calles,24,S/N,San Bartolo Cuautlalpan,Zumpango,Cbt 3,AGUILAR,GALINDO ,CASTULO,55678977,1TUTOR13@GMAIL.ORG,calle plutarco elias calles,24,S/N,San Bartolo Cuautlalpan,Zumpango
5437160116,Cbt 3 zumpango,15epr5678a,bachillerato tecnologico,P30A,MATUTINO,1,SAGA971111HMCNLL15,JIMENEZ,LOPEZ,SUSANA YAMILETH,55678978,alumno1@gmail.com,calle plutarco elias calles,25,S/N,La florida,Zumpango,Cbt 4,MERINO,TORRES,SARA,55678978,2TUTOR12@GMAIL.ORG,calle plutarco elias calles,25,S/N,La florida,Zumpango
5437160118,Cbt 3 zumpango,15epr5678a,bachillerato tecnologico,P30A,MATUTINO,1,SAGA971111HMCNLL27,BRAVO,TELLEZ,OMAR,55678979,alumno0@gmail.com,calle plutarco elias calles,26,S/N,San Juan Zitlaltepec,Zumpango,Cbt 5,BRAVO,SANTIAGO,ALDO,55678979,1TUTOR13@GMAIL.ORG,calle plutarco elias calles,26,S/N,San Juan Zitlaltepec,Zumpango
5437160120,Cbt 3 zumpango,15epr5678a,bachillerato tecnologico,P30A,MATUTINO,3,SAGA971111HMCNLL26,CASIMIRO,SANTANA,BENITO,55678980,alumno2@gmail.com,calle plutarco elias calles,27,S/N,San Bartolo Cuautlalpan,Zumpango,Cbt 6,CASIMIRO,MENDOZA,ADRIAN,55678980,2TUTOR12@GMAIL.ORG,calle plutarco elias calles,27,S/N,San Bartolo Cuautlalpan,Zumpango
5437160122,Cbt 3 zumpango,15epr5678a,bachillerato tecnologico,P30A,MATUTINO,3,SAGA971111HMCNLL20,CASTELLON,BRAVO,MELITON,55678981,alumno1@gmail.com,calle plutarco elias calles,28,S/N,La florida,Zumpango,Cbt 7,CASTELLON,MARTINEZ,CECILIA,55678981,1TUTOR13@GMAIL.ORG,calle plutarco elias calles,28,S/N,La florida,Zumpango
5437160124,Cbt 3 zumpango,15epr5678a,bachillerato tecnologico,P30A,MATUTINO,2,SAGA971111HMCNLL10,DIAZ,ORTIS,REMEDIOS,55678982,alumno0@gmail.com,calle plutarco elias calles,29,S/N,San Juan Zitlaltepec,Zumpango,Cbt 8,DIAZ,ROMERO,MAMA ILI,55678982,2TUTOR12@GMAIL.ORG,calle plutarco elias calles,29,S/N,San Juan Zitlaltepec,Zumpango
5437160126,Cbt 3 zumpango,15epr5678a,bachillerato tecnologico,P30A,MATUTINO,2,SAGA971111HMCNLL16,DIAZ,CARSO,SANDRA,55678983,alumno2@gmail.com,calle plutarco elias calles,30,S/N,San Bartolo Cuautlalpan,Zumpango,Cbt 9,DIAZ,HERNANDEZ,DANIELA,55678983,1TUTOR13@GMAIL.ORG,calle plutarco elias calles,30,S/N,San Bartolo Cuautlalpan,Zumpango
5437160128,Cbt 3 zumpango,15epr5678a,bachillerato tecnologico,P30A,MATUTINO,1,SAGA971111HMCNLL18,FLORES,ARIAS,MONICA,55678984,alumno1@gmail.com,calle plutarco elias calles,31,S/N,La florida,Zumpango,Cbt 10,FLORES,SANCHEZ,CHABELO,55678984,2TUTOR12@GMAIL.ORG,calle plutarco elias calles,31,S/N,La florida,Zumpango
5437160130,Cbt 3 zumpango,15epr5678a,bachillerato tecnologico,P30A,MATUTINO,1,SAGA971111HMCNLL21,GONZALEZ,RUIZ,CAROLINA,55678985,alumno0@gmail.com,calle plutarco elias calles,32,S/N,San Juan Zitlaltepec,Zumpango,Cbt 11,GONZALEZ,ORTIZ,OLGA,55678985,1TUTOR13@GMAIL.ORG,calle plutarco elias calles,32,S/N,San Juan Zitlaltepec,Zumpango
5437160132,Cbt 3 zumpango,15epr5678a,bachillerato tecnologico,P30A,MATUTINO,3,SAGA971111HMCNLL11,HERNANDEZ,HERNANDEZ,PEDRO IGNACIO,55678986,alumno2@gmail.com,calle plutarco elias calles,33,S/N,San Bartolo Cuautlalpan,Zumpango,Cbt 12,HERNANDEZ,ESCORSIA,JAVIER,55678986,2TUTOR12@GMAIL.ORG,calle plutarco elias calles,33,S/N,San Bartolo Cuautlalpan,Zumpango
5437160134,Cbt 3 zumpango,15epr5678a,bachillerato tecnologico,P30A,MATUTINO,1,SAGA971111HMCNLL24,MATIAS,ALMEIDA,ZUJEY,55678987,alumno1@gmail.com,calle plutarco elias calles,34,S/N,La florida,Zumpango,Cbt 13,MATIAS,RAMIREZ,AIME,55678987,1TUTOR13@GMAIL.ORG,calle plutarco elias calles,34,S/N,La florida,Zumpango
5437160136,Cbt 3 zumpango,15epr5678a,bachillerato tecnologico,P30A,MATUTINO,3,SAGA971111HMCNLL14,MEDRANO,PEREZ,JHONATAN,55678988,alumno0@gmail.com,calle plutarco elias calles,35,S/N,San Juan Zitlaltepec,Zumpango,Cbt 14,MEDRANO,COBARRUVIAS,OSCAR,55678988,2TUTOR12@GMAIL.ORG,calle plutarco elias calles,35,S/N,San Juan Zitlaltepec,Zumpango
5437160138,Cbt 3 zumpango,15epr5678a,bachillerato tecnologico,P30A,MATUTINO,3,SAGA971111HMCNLL23,MERINO,CONTRERAS,RITA ,55678989,alumno2@gmail.com,calle plutarco elias calles,36,S/N,San Bartolo Cuautlalpan,Zumpango,Cbt 15,MERINO,GUZMAN ,TADEO,55678989,1TUTOR13@GMAIL.ORG,calle plutarco elias calles,36,S/N,San Bartolo Cuautlalpan,Zumpango
5437160140,Cbt 3 zumpango,15epr5678a,bachillerato tecnologico,P30A,MATUTINO,2,SAGA971111HMCNLL19,MONDRAGON,MERCADO ,CORINA,55678990,alumno1@gmail.com,calle plutarco elias calles,37,S/N,La florida,Zumpango,Cbt 16,MONDRAGON,MENDEZ,CRISTIAN,55678990,2TUTOR12@GMAIL.ORG,calle plutarco elias calles,37,S/N,La florida,Zumpango
5437160142,Cbt 3 zumpango,15epr5678a,bachillerato tecnologico,P30A,MATUTINO,2,SAGA971111HMCNLL22,MONRROY,NAVA,CHUMEL,55678991,alumno0@gmail.com,calle plutarco elias calles,38,S/N,San Juan Zitlaltepec,Zumpango,Cbt 17,MONRROY,DIEGO,JUDAS,55678991,1TUTOR13@GMAIL.ORG,calle plutarco elias calles,38,S/N,San Juan Zitlaltepec,Zumpango
5437160144,Cbt 3 zumpango,15epr5678a,bachillerato tecnologico,P30A,MATUTINO,1,SAGA971111HMCNLL12,DIONICIO,CASTRO,JUAN DE DIOS,55678992,alumno2@gmail.com,calle plutarco elias calles,39,S/N,San Bartolo Cuautlalpan,Zumpango,Cbt 18,SANCHEZ,PACHESCO,ISCARIOTE,55678992,2TUTOR12@GMAIL.ORG,calle plutarco elias calles,39,S/N,San Bartolo Cuautlalpan,Zumpango
5437160146,Cbt 3 zumpango,15epr5678a,bachillerato tecnologico,P30A,MATUTINO,1,SAGA971111HMCNLL09,SANTOS,DIAZ,JESUS,55678993,alumno1@gmail.com,calle plutarco elias calles,40,S/N,La florida,Zumpango,Cbt 19,SANTOS,SANDOBAL,TOMAS,55678993,1TUTOR13@GMAIL.ORG,calle plutarco elias calles,40,S/N,La florida,Zumpango
5437160148,Cbt 3 zumpango,15epr5678a,bachillerato tecnologico,P30A,MATUTINO,2,SAGA971111HMCNLL25,SOLIS,PORTILLO,JENNIFER,55678994,alumno0@gmail.com,calle plutarco elias calles,41,S/N,San Juan Zitlaltepec,Zumpango,Cbt 20,SOLIS,BENITES,VANESA,55678994,2TUTOR12@GMAIL.ORG,calle plutarco elias calles,41,S/N,San Juan Zitlaltepec,Zumpango
5437160150,Cbt 3 zumpango,15epr5678a,bachillerato tecnologico,P30A,MATUTINO,3,SAGA971111HMCNLL17,SOTO,SOTO,JAQUELINE,55678995,alumno2@gmail.com,calle plutarco elias calles,42,S/N,San Bartolo Cuautlalpan,Zumpango,Cbt 21,SOTO,RUIZ,PAPIRRIN,55678995,1TUTOR13@GMAIL.ORG,calle plutarco elias calles,42,S/N,San Bartolo Cuautlalpan,Zumpango
