21,Centro de bachillerato tecnologico n 3 Zumpango,15EPR4567U,BACCILLERATO TECNOLOGICO,P21,MATUTINO,3,SAGA971111HMCNLL9,ARCINIEGA,GARCIA,FERNANDO OMAR,55678976,abi@gmail.com,calle de la amargura,23,S/N,San pedro zula,Atizapan,Bar la loca,Profesor,tiempo completo,Enseñar
22,Centro de bachillerato tecnologico n 3 Zumpango,15EPR4567U,BACCILLERATO TECNOLOGICO,P22,MATUTINO,4,SAGA971111HMCNLL10,ARCINIEGA,GARCIA,FERNANDO OMAR,55678977,abi@gmail.com,calle de la amargura,24,S/N,San pedro zula,Atizapan,Bar la loca,Profesor,tiempo completo,Enseñar
23,Centro de bachillerato tecnologico n 3 Zumpango,15EPR4567U,BACCILLERATO TECNOLOGICO,P23,MATUTINO,5,SAGA971111HMCNLL11,CASTRO,HERNANDEZ,NUBIA,55678978,abi@gmail.com,calle de la amargura,25,S/N,San pedro zula,Atizapan,Bar la loca,Profesor,tiempo completo,Enseñar
24,Centro de bachillerato tecnologico n 3 Zumpango,15EPR4567U,BACCILLERATO TECNOLOGICO,P24,MATUTINO,6,SAGA971111HMCNLL12,BARRON,VIDALES,JESUS,55678979,abi@gmail.com,calle de la amargura,26,S/N,San pedro zula,Atizapan,Bar la loca,Profesor,tiempo completo,Enseñar
25,Centro de bachillerato tecnologico n 3 Zumpango,15EPR4567U,BACCILLERATO TECNOLOGICO,P25,MATUTINO,7,SAGA971111HMCNLL13,MEDINA,ANGELES,OSVALDO MAUGDIEL,55678980,abi@gmail.com,calle de la amargura,27,S/N,San pedro zula,Atizapan,Bar la loca,Profesor,tiempo completo,Enseñar
26,Centro de bachillerato tecnologico n 3 Zumpango,15EPR4567U,BACCILLERATO TECNOLOGICO,P26,MATUTINO,8,SAGA971111HMCNLL14,GONZALEZ,ROJA,Claudia yamilet,55678981,abi@gmail.com,calle de la amargura,28,S/N,San pedro zula,Atizapan,Bar la loca,Profesor,tiempo completo,Enseñar
27,Centro de bachillerato tecnologico n 3 Zumpango,15EPR4567U,BACCILLERATO TECNOLOGICO,P27,MATUTINO,9,SAGA971111HMCNLL15,PEREZ,MARTINEZ,ERNESTO,55678982,abi@gmail.com,calle de la amargura,29,S/N,San pedro zula,Atizapan,Bar la loca,Profesor,tiempo completo,Enseñar
28,Centro de bachillerato tecnologico n 3 Zumpango,15EPR4567U,BACCILLERATO TECNOLOGICO,P28,MATUTINO,10,SAGA971111HMCNLL16,GONZALEZ,SOLIS,CESAR,55678983,abi@gmail.com,calle de la amargura,30,S/N,San pedro zula,Atizapan,Bar la loca,Profesor,tiempo completo,Enseñar
29,Centro de bachillerato tecnologico n 3 Zumpango,15EPR4567U,BACCILLERATO TECNOLOGICO,P29,MATUTINO,11,SAGA971111HMCNLL17,RAYA,GOMEZ,KAREN,55678984,abi@gmail.com,calle de la amargura,31,S/N,San pedro zula,Atizapan,Bar la loca,Profesor,tiempo completo,Enseñar
30,Centro de bachillerato tecnologico n 3 Zumpango,15EPR4567U,BACCILLERATO TECNOLOGICO,P30,MATUTINO,12,SAGA971111HMCNLL18,BUENDIA,FABREGAS,TONATIU,55678985,abi@gmail.com,calle de la amargura,32,S/N,San pedro zula,Atizapan,Bar la loca,Profesor,tiempo completo,Enseñar
